代码,名称,分数,排名
191,中国社会科学院大学,639,746
195,上海海关学院,589,7332
1100,中央民族大学,630,1341
1100,中央民族大学(少数民族),622,2011
1100,中央民族大学(其他单列),611,3297
1103,中南民族大学,584,8565
1103,中南民族大学(少数民族),568,13302
1105,北京大学,666,46
1110,中国人民大学,658,144
1113,中国人民大学(苏州校区),639,746
1115,清华大学,670,23
1120,北京交通大学,631,1266
1121,北京交通大学(威海校区),599,5282
1125,东南大学,636,927
1130,复旦大学,663,76
1135,湖南大学,630,1341
1140,华中科技大学,635,979
1145,吉林大学,627,1582
1150,江南大学,618,2441
1150,江南大学(较高收费),611,3297
1155,兰州大学,620,2197
1160,南京大学,655,190
1165,南开大学,645,506
1170,山东大学,629,1415
1173,山东大学威海分校,622,2011
1173,山东大学威海分校(较高收费),626,1662
1175,四川大学,636,927
1180,武汉大学,643,571
1185,西安交通大学,634,1044
1189,西交利物浦大学,576,10788
1190,厦门大学,641,653
1190,厦门大学(较高收费),628,1496
1190,厦门大学(异地校区),611,3297
1195,浙江大学,655,190
1200,华北电力大学(保定),601,4905
1205,中南财经政法大学,627,1582
1210,中南大学,631,1266
1215,中山大学,643,571
1220,华北电力大学(北京),616,2693
1225,北京化工大学,614,2927
1230,北京科技大学,622,2011
1235,北京邮电大学,625,1761
1240,长安大学,609,3596
1250,电子科技大学,622,2011
1255,东北大学,619,2343
1265,合肥工业大学,599,5282
1268,合肥工业大学(宣城校区),594,6301
1270,河海大学,618,2441
1275,华东理工大学,619,2343
1280,华南理工大学,629,1415
1285,大连海事大学,613,3045
1290,上海交通大学,664,66
1295,中国石油大学(北京),614,2927
1296,中国石油大学(北京)克拉玛依校区,568,13302
1300,中国石油大学(华东),603,4574
1305,天津大学,636,927
1310,同济大学,642,618
1315,武汉理工大学,615,2801
1315,武汉理工大学(较高收费),612,3169
1320,西安电子科技大学,605,4254
1325,西南交通大学,615,2801
1330,中国海洋大学,622,2011
1330,中国海洋大学(较高收费),603,4574
1335,中国地质大学(北京),614,2927
1340,中国地质大学(武汉),615,2801
1345,中国矿业大学(北京),610,3437
1350,中国矿业大学,602,4718
1355,重庆大学,631,1266
1360,华中农业大学,608,3752
1360,华中农业大学(较高收费),588,7575
1365,南京农业大学,612,3169
1370,西北农林科技大学,607,3912
1375,中国农业大学,630,1341
1375,中国农业大学(较高收费),616,2693
1380,北京林业大学,618,2441
1385,东北林业大学,593,6485
1390,北京中医药大学,615,2801
1395,中国药科大学,614,2927
1405,东北师范大学,610,3437
1405,东北师范大学(较高收费),576,10788
1410,华东师范大学,637,849
1415,华中师范大学,621,2097
1415,华中师范大学(其他单列),601,4905
1420,陕西师范大学,617,2562
1425,西南大学,621,2097
1425,西南大学(较高收费),607,3912
1427,西南大学(荣昌校区),599,5282
1430,北京外国语大学,637,849
1430,北京外国语大学(较高收费),625,1761
1435,北京语言大学,617,2562
1440,上海外国语大学,632,1174
1445,上海财经大学,650,318
1450,对外经济贸易大学,643,571
1455,西南财经大学,621,2097
1455,西南财经大学(较高收费),620,2197
1460,中央财经大学,619,2343
1465,中国政法大学,632,1174
1470,中国传媒大学,634,1044
1485,北京航空航天大学,639,746
1490,北京理工大学,634,1044
1495,哈尔滨工业大学,628,1496
1500,哈尔滨工程大学,599,5282
1505,南京航空航天大学,617,2562
1515,西北工业大学,622,2011
1520,暨南大学,621,2097
1520,暨南大学(较高收费),628,1496
1550,北京工商大学,604,4423
1565,北京第二外国语学院,612,3169
1605,天津医科大学,599,5282
1630,河北工业大学,601,4905
1635,燕山大学,588,7575
1640,石家庄铁道大学,567,13662
1660,山西大学,583,8825
1680,内蒙古大学,586,8067
1690,辽宁大学,602,4718
1695,辽宁工程技术大学,556,17891
1710,沈阳农业大学,559,16708
1725,东北财经大学,611,3297
1725,东北财经大学(较高收费),552,19630
1740,延边大学,589,7332
1745,长春理工大学,572,12003
1760,东北农业大学,587,7823
1765,哈尔滨医科大学,574,11428
1790,上海大学,628,1496
1790,上海大学(较高收费),624,1836
1795,上海理工大学,600,5089
1795,上海理工大学(较高收费),591,6913
1805,上海对外经贸大学,610,3437
1805,上海对外经贸大学(较高收费),608,3752
1810,华东政法大学,619,2343
1830,苏州大学,623,1919
1830,苏州大学(较高收费),618,2441
1835,扬州大学,598,5469
1840,江苏大学,597,5642
1845,南京工业大学,592,6688
1855,南京师范大学,621,2097
1860,南京信息工程大学,594,6301
1880,宁波大学,602,4718
1885,安徽大学,603,4574
1895,福州大学,612,3169
1910,南昌大学,603,4574
1915,江西财经大学,598,5469
1930,湘潭大学,593,6485
1935,湖南师范大学,613,3045
1960,广东外语外贸大学,598,5469
1965,深圳大学,617,2562
1970,华南农业大学,592,6688
1975,广州中医药大学,580,9633
1985,华南师范大学,616,2693
2000,广西大学,598,5469
2000,广西大学(较高收费),578,10192
2030,西南政法大学,619,2343
2030,西南政法大学(较高收费),616,2693
2035,重庆邮电大学,583,8825
2080,云南大学,605,4254
2090,西北大学,616,2693
2095,陕西科技大学,579,9905
2100,西安建筑科技大学,575,11112
2105,西安邮电大学,590,7122
2110,西安外国语大学,601,4905
2110,西安外国语大学(较高收费),573,11698
2115,西北政法大学,602,4718
2120,新疆大学,573,11698
2125,青海大学,578,10192
2130,石河子大学,571,12332
2205,青岛大学,599,5282
2210,湖北大学,592,6688
2210,湖北大学(较高收费),569,12983
2215,中国民航大学,588,7575
2220,武汉科技大学,583,8825
2225,首都师范大学,610,3437
2230,天津财经大学,574,11428
2240,南京审计大学,607,3912
2250,天津外国语大学,596,5874
2255,浙江理工大学,591,6913
2265,南京财经大学,604,4423
2270,江苏科技大学,581,9342
2280,北京建筑大学,554,18786
2285,沈阳建筑大学,565,14401
2290,中国计量大学,590,7122
2295,南华大学,577,10474
2300,长沙理工大学,584,8565
2305,贵州大学,597,5642
2310,南方医科大学,585,8346
2315,南京邮电大学,600,5089
2320,北方工业大学,587,7823
2325,华侨大学,592,6688
2330,西安工业大学,579,9905
2340,汕头大学,600,5089
2345,宁波诺丁汉大学,598,5469
2350,大连民族大学,573,11698
2350,大连民族大学(少数民族),552,19630
2360,温州肯恩大学,568,13302
2365,太原理工大学,598,5469
2375,东北石油大学,563,15188
2380,北京信息科技大学,590,7122
2385,安徽财经大学,565,14401
2385,安徽财经大学(较高收费),576,10788
2390,上海师范大学,598,5469
2390,上海师范大学(较高收费),589,7332
2395,集美大学,593,6485
2400,北京物资学院,585,8346
2405,天津师范大学,595,6071
2410,青岛理工大学,578,10192
2415,浙江工业大学,591,6913
2425,湖南科技大学,578,10192
2430,南昌航空大学,572,12003
2435,江西理工大学,572,12003
2440,长江大学,568,13302
2450,成都理工大学,582,9086
2500,首都经济贸易大学,614,2927
2505,南京林业大学,591,6913
2510,西南科技大学,575,11112
2515,西南石油大学,578,10192
2520,西安工程大学,573,11698
2525,天津工业大学,587,7823
2530,中北大学,574,11428
2535,西安科技大学,582,9086
2540,河北科技大学,570,12654
2550,北京联合大学,587,7823
2575,浙江师范大学,595,6071
2580,安徽理工大学,557,17500
2610,黑龙江中医药大学,578,10192
2615,湖南中医药大学,579,9905
2620,成都中医药大学,592,6688
2655,湖北中医药大学,574,11428
2750,海南大学,594,6301
2750,海南大学(较高收费),567,13662
2755,宁夏大学,585,8346
2780,山东科技大学,582,9086
2780,山东科技大学(较高收费),562,15581
2785,河北大学,587,7823
2790,辽宁石油化工大学,553,19215
2795,沈阳工业大学,567,13662
2800,中南林业科技大学,578,10192
2810,安徽工业大学,558,17091
2850,广州大学,598,5469
2855,广州医科大学,578,10192
2860,上海海事大学,594,6301
2865,重庆交通大学,584,8565
2870,天津理工大学,573,11698
2875,上海海洋大学,590,7122
2875,上海海洋大学(较高收费),587,7823
2880,常州大学,577,10474
2885,华东交通大学,578,10192
2890,重庆工商大学,589,7332
2895,武汉工程大学,581,9342
2905,三峡大学,574,11428
2910,四川外国语大学,602,4718
2915,西安石油大学,566,14018
2920,山西财经大学,583,8825
2925,上海立信会计金融学院,609,3596
2930,广东工业大学,579,9905
3020,西南民族大学,584,8565
3040,上海电力学院,577,10474
3060,中国民用航空飞行学院,,FAIL
3175,北京印刷学院,582,9086
3200,天津科技大学,579,9905
3240,天津商业大学,587,7823
3280,河北师范大学,568,13302
3400,山西中医药大学,581,9342
3530,大连工业大学,558,17091
3595,大连外国语大学,593,6485
3690,吉林财经大学,574,11428
3690,吉林财经大学(较高收费),564,14785
3695,黑龙江大学,578,10192
3725,哈尔滨商业大学,577,10474
3815,上海应用技术大学,575,11112
3890,苏州科技大学,569,12983
4040,湖州师范学院,547,21887
4055,杭州师范大学,593,6485
4060,浙江工商大学,604,4423
4065,浙江财经大学,587,7823
4100,安徽师范大学,568,13302
4195,福建农林大学,577,10474
4200,福建医科大学,548,21437
4205,福建师范大学,590,7122
4260,江西师范大学,573,11698
4275,东华理工大学,567,13662
4345,南昌工程学院,551,20054
4350,济南大学,588,7575
4370,山东理工大学,569,12983
4395,山东师范大学,583,8825
4400,曲阜师范大学,562,15581
4415,山东建筑大学,557,17500
4485,山东财经大学,579,9905
4550,湖北工业大学,578,10192
4550,湖北工业大学(较高收费),559,16708
4575,武汉纺织大学,574,11428
4700,湖南农业大学,574,11428
4735,湖南工业大学,566,14018
4775,湖南商学院,569,12983
4890,北京师范大学-香港浸会大学联合国际学院,574,11428
5010,海南师范大学,548,21437
5035,重庆理工大学,580,9633
5055,重庆师范大学,581,9342
5080,四川师范大学,582,9086
5095,成都信息工程大学,576,10788
5100,西华大学,578,10192
5230,昆明理工大学,579,9905
5410,西北师范大学,567,13662
5590,成都学院,568,13302
5595,上海电机学院,553,19215
5610,上海政法学院,593,6485
5995,郑州大学(中外合作办学),582,9086
6000,郑州大学,605,4254
6005,河南大学,582,9086
6009,河南大学(中外合作办学),555,18319
6010,河南农业大学,553,19215
6012,河南农业大学(中外合作办学),527,32212
6015,河南中医药大学,547,21887
6020,新乡医学院,547,21887
6025,河南科技学院,527,32212
6030,河南师范大学,559,16708
6075,南阳理工学院,548,21437
6080,河南财经政法大学,575,11112
6080,河南财经政法大学(较高收费),565,14401
6085,河南科技大学,557,17500
6090,郑州航空工业管理学院,551,20054
6095,华北水利水电大学,555,18319
6100,河南理工大学,550,20481
6105,河南工业大学,556,17891
6110,郑州轻工业学院,548,21437
6115,中原工学院,548,21437
6117,中原工学院(软件类),547,21887
6603,浙江大学宁波理工学院,554,18786
6823,浙江大学城市学院,563,15188
