代码,名称,2018名次,2017名次,2016名次,2015名次
191,中国社会科学院大学,746,768,null,null
195,上海海关学院,7332,8153,null,null
1100,中央民族大学,1341,1428,1737,1621
1100,中央民族大学(少数民族),2011,null,null,null
1100,中央民族大学(其他单列),3297,2268,null,null
1103,中南民族大学,8565,12434,8100,8341
1103,中南民族大学(少数民族),13302,null,12161,12687
1105,北京大学,46,44,47,48
1110,中国人民大学,144,146,154,146
1113,中国人民大学(苏州校区),746,911,1013,866
1115,清华大学,23,10,19,11
1120,北京交通大学,1266,1363,1318,1454
1121,北京交通大学(威海校区),5282,null,null,null
1125,东南大学,927,970,953,1039
1130,复旦大学,76,76,76,70
1135,湖南大学,1341,1134,1265,1204
1140,华中科技大学,979,1029,1131,1158
1145,吉林大学,1582,1569,1576,1454
1150,江南大学,2441,2458,2719,2749
1150,江南大学(较高收费),3297,3421,4328,null
1155,兰州大学,2197,2174,1998,2163
1160,南京大学,190,177,214,208
1165,南开大学,506,442,405,361
1170,山东大学,1415,18951,1065,1107
1173,山东大学威海分校,2011,1991,1998,2061
1173,山东大学威海分校(较高收费),1662,1991,2502,2514
1175,四川大学,927,970,953,924
1180,武汉大学,571,527,464,479
1185,西安交通大学,1044,1029,1193,1360
1189,西交利物浦大学,10788,13099,13557,11970
1190,厦门大学,653,869,464,445
1190,厦门大学(较高收费),1496,1819,2299,2392
1190,厦门大学(异地校区),3297,4566,null,null
1195,浙江大学,190,191,199,178
1200,华北电力大学(保定),4905,4738,4864,4453
1205,中南财经政法大学,1582,1569,1439,1360
1210,中南大学,1266,1236,1439,1454
1215,中山大学,571,562,524,540
1220,华北电力大学(北京),2693,2746,2385,2392
1225,北京化工大学,2927,3082,3310,3439
1230,北京科技大学,2011,1991,1998,1869
1235,北京邮电大学,1761,1819,1998,1534
1240,长安大学,3596,3320,3741,3907
1250,电子科技大学,2011,2070,2299,2636
1255,东北大学,2343,2268,2385,2392
1265,合肥工业大学,5282,5715,5735,6546
1268,合肥工业大学(宣城校区),6301,7077,9158,null
1270,河海大学,2441,2458,2719,2890
1275,华东理工大学,2343,2361,2604,2514
1280,华南理工大学,1415,1428,1510,1699
1285,大连海事大学,3045,3205,3310,3907
1290,上海交通大学,66,60,86,92
1295,中国石油大学(北京),2927,2746,2502,2514
1296,中国石油大学(北京)克拉玛依校区,13302,15055,null,null
1300,中国石油大学(华东),4574,4432,4672,5003
1305,天津大学,927,null,null,688
1310,同济大学,618,721,633,610
1315,武汉理工大学,2801,2658,2604,2890
1315,武汉理工大学(较高收费),3169,3767,2719,2890
1320,西安电子科技大学,4254,4566,5023,5867
1325,西南交通大学,2801,2857,3181,3907
1330,中国海洋大学,2011,1991,1819,1621
1330,中国海洋大学(较高收费),4574,5214,4672,10556
1335,中国地质大学(北京),2927,2658,3053,2890
1340,中国地质大学(武汉),2801,2559,2827,3573
1345,中国矿业大学(北京),3437,3205,3603,3907
1350,中国矿业大学,4718,4900,4864,5209
1355,重庆大学,1266,1236,1439,1454
1360,华中农业大学,3752,4021,4864,5209
1360,华中农业大学(较高收费),7575,9122,13160,null
1365,南京农业大学,3169,3634,4492,5003
1370,西北农林科技大学,3912,4021,4492,4453
1375,中国农业大学,1341,1363,1265,1289
1375,中国农业大学(较高收费),2693,2970,3741,4453
1380,北京林业大学,2441,2268,2095,2163
1385,东北林业大学,6485,6877,6918,7029
1390,北京中医药大学,2801,1663,1644,1534
1395,中国药科大学,2927,3082,3603,3730
1405,东北师范大学,3437,2970,3445,4453
1405,东北师范大学(较高收费),10788,16519,14350,12314
1410,华东师范大学,849,869,843,866
1415,华中师范大学,2097,1819,1819,1783
1415,华中师范大学(其他单列),4905,null,null,null
1420,陕西师范大学,2562,2559,2827,3439
1425,西南大学,2097,2174,2095,2392
1425,西南大学(较高收费),3912,4566,6106,10197
1427,西南大学(荣昌校区),5282,6248,6918,9237
1430,北京外国语大学,849,807,718,866
1430,北京外国语大学(较高收费),1761,null,null,null
1435,北京语言大学,2562,2658,2198,2163
1440,上海外国语大学,1174,807,759,866
1445,上海财经大学,318,359,214,255
1450,对外经济贸易大学,571,721,799,573
1455,西南财经大学,2097,1428,1510,1869
1455,西南财经大学(较高收费),2197,1991,null,null
1460,中央财经大学,2343,721,666,688
1465,中国政法大学,1174,721,799,770
1470,中国传媒大学,1044,1078,1013,1289
1485,北京航空航天大学,746,807,718,866
1490,北京理工大学,1044,1029,953,1158
1495,哈尔滨工业大学,1496,1569,1644,1699
1500,哈尔滨工程大学,5282,5558,6515,7029
1505,南京航空航天大学,2562,2559,2719,2890
1515,西北工业大学,2011,2070,2198,2163
1520,暨南大学,2097,1663,1737,1454
1520,暨南大学(较高收费),1496,null,null,null
1550,北京工商大学,4423,4140,4672,3152
1565,北京第二外国语学院,3169,3320,2198,2890
1605,天津医科大学,5282,5054,4864,5209
1630,河北工业大学,4905,5054,5735,6546
1635,燕山大学,7575,6248,6721,7029
1640,石家庄铁道大学,13662,12740,10284,9569
1660,山西大学,8825,8873,9158,9237
1680,内蒙古大学,8067,7926,8904,8341
1690,辽宁大学,4718,4738,4864,4806
1695,辽宁工程技术大学,17891,16933,13557,12687
1710,沈阳农业大学,16708,15055,13557,11602
1725,东北财经大学,3297,2658,2095,2283
1725,东北财经大学(较高收费),19630,9885,11579,9569
1740,延边大学,7332,7281,7851,8066
1745,长春理工大学,12003,12740,12510,12314
1760,东北农业大学,7823,7926,7643,8646
1765,哈尔滨医科大学,11428,14369,10896,10891
1790,上海大学,1496,1495,1439,1621
1790,上海大学(较高收费),1836,2458,null,null
1795,上海理工大学,5089,5214,4672,4652
1795,上海理工大学(较高收费),6913,7281,7851,8341
1805,上海对外经贸大学,3437,2857,2954,2890
1805,上海对外经贸大学(较高收费),3752,null,null,null
1810,华东政法大学,2343,2268,2198,2514
1830,苏州大学,1919,1899,1819,1699
1830,苏州大学(较高收费),2441,null,null,null
1835,扬州大学,5469,5715,5735,7029
1840,江苏大学,5642,5715,4672,4652
1845,南京工业大学,6688,6877,6918,7519
1855,南京师范大学,2097,2070,2095,2392
1860,南京信息工程大学,6301,6877,7401,8646
1880,宁波大学,4718,5214,5172,5428
1885,安徽大学,4574,4282,4492,4256
1895,福州大学,3169,2970,3310,4074
1910,南昌大学,4574,4432,4672,4453
1915,江西财经大学,5469,5715,3603,3907
1930,湘潭大学,6485,6248,6106,6333
1935,湖南师范大学,3045,3320,4009,4453
1960,广东外语外贸大学,5469,2559,2502,2636
1965,深圳大学,2562,2746,2954,3281
1970,华南农业大学,6688,6661,6918,7519
1975,广州中医药大学,9633,4282,3310,4074
1985,华南师范大学,2693,2746,3053,3730
2000,广西大学,5469,6463,10896,null
2030,西南政法大学,2343,2458,2604,2890
2030,西南政法大学(较高收费),2693,3082,4492,5639
2035,重庆邮电大学,8825,7281,7851,8935
2080,云南大学,4254,4432,4672,4806
2090,西北大学,2693,2361,2502,2514
2095,陕西科技大学,9905,9374,9467,9569
2100,西安建筑科技大学,11112,8153,7643,10556
2105,西安邮电大学,7122,7281,6918,7029
2110,西安外国语大学,4905,4900,4672,4806
2110,西安外国语大学(较高收费),11698,null,null,null
2115,西北政法大学,4718,4566,4672,4806
2120,新疆大学,11698,13403,13956,12687
2125,青海大学,10192,11522,9985,11602
2130,石河子大学,12332,12434,11237,11602
2205,青岛大学,5282,5378,5735,6770
2210,湖北大学,6688,6248,6721,7284
2210,湖北大学(较高收费),12983,16933,null,null
2215,中国民航大学,7575,7706,6918,5867
2220,武汉科技大学,8825,9885,5534,6091
2225,首都师范大学,3437,3320,4328,3730
2230,天津财经大学,11428,4432,3310,3281
2240,南京审计大学,3912,3421,3603,null
2250,天津外国语大学,5874,5214,5023,5428
2255,浙江理工大学,6913,6877,7152,7781
2265,南京财经大学,4423,3529,3896,3730
2270,江苏科技大学,9342,8873,8635,7781
2280,北京建筑大学,18786,7281,7851,6546
2285,沈阳建筑大学,14401,16519,12809,11970
2290,中国计量大学,7122,7706,7851,null
2295,南华大学,10474,10156,10896,10556
2300,长沙理工大学,8565,8606,9467,9569
2305,贵州大学,5642,5889,6106,6091
2310,南方医科大学,8346,5054,6106,5639
2315,南京邮电大学,5089,5214,5735,5867
2320,北方工业大学,7823,6877,7152,8066
2325,华侨大学,6688,6463,6721,7029
2330,西安工业大学,9905,9885,9985,9865
2340,汕头大学,5089,4738,4864,5003
2345,宁波诺丁汉大学,5469,5889,6308,6333
2350,大连民族大学,11698,12740,11579,10891
2350,大连民族大学(少数民族),19630,16933,null,null
2360,温州肯恩大学,13302,14688,13956,12314
2365,太原理工大学,5469,5378,6106,7284
2375,东北石油大学,15188,14369,14756,12687
2380,北京信息科技大学,7122,7077,7401,6546
2385,安徽财经大学,14401,6661,5735,5867
2385,安徽财经大学(较高收费),10788,13099,14756,null
2390,上海师范大学,5469,5378,5735,5867
2390,上海师范大学(较高收费),7332,8382,9467,8935
2395,集美大学,6485,6248,5931,6333
2400,北京物资学院,8346,8382,7643,8341
2405,天津师范大学,6071,6069,6308,6770
2410,青岛理工大学,10192,10436,8635,9237
2415,浙江工业大学,6913,7077,7643,8066
2425,湖南科技大学,10192,9374,9985,9865
2430,南昌航空大学,12003,14369,null,null
2435,江西理工大学,12003,13403,14756,null
2440,长江大学,13302,16519,null,null
2450,成都理工大学,9086,9622,10284,11970
2500,首都经济贸易大学,2927,3320,2954,3152
2505,南京林业大学,6913,7479,7643,8341
2510,西南科技大学,11112,11522,11579,10556
2515,西南石油大学,10192,10963,11237,12687
2520,西安工程大学,11698,12434,13956,null
2525,天津工业大学,7823,8153,8367,9237
2530,中北大学,11428,11818,10566,11248
2535,西安科技大学,9086,10156,10284,9569
2540,河北科技大学,12654,13743,14756,null
2550,北京联合大学,7823,7706,7152,7029
2575,浙江师范大学,6071,6248,6721,7519
2580,安徽理工大学,17500,null,null,null
2610,黑龙江中医药大学,10192,10963,14350,null
2615,湖南中医药大学,9905,9374,7152,8066
2620,成都中医药大学,6688,3894,3053,2890
2655,湖北中医药大学,11428,7926,10284,10891
2750,海南大学,6301,6248,6918,7284
2750,海南大学(较高收费),13662,18951,14350,12687
2755,宁夏大学,8346,8153,8635,8646
2780,山东科技大学,9086,8873,9158,9569
2780,山东科技大学(较高收费),15581,18137,13160,null
2785,河北大学,7823,7706,8367,8935
2790,辽宁石油化工大学,19215,15767,13956,12687
2795,沈阳工业大学,13662,14050,10896,11970
2800,中南林业科技大学,10192,9622,9736,9865
2810,安徽工业大学,17091,null,null,null
2850,广州大学,5469,5558,5350,5428
2860,上海海事大学,6301,5214,5172,5639
2865,重庆交通大学,8565,8606,8904,9569
2870,天津理工大学,11698,15767,null,null
2875,上海海洋大学,7122,7706,7643,8066
2875,上海海洋大学(较高收费),7823,9622,9736,10891
2880,常州大学,10474,9885,9736,9865
2885,华东交通大学,10192,10963,14350,6091
2890,重庆工商大学,7332,6069,5931,6091
2895,武汉工程大学,9342,9622,10896,null
2905,三峡大学,11428,12434,14756,null
2910,四川外国语大学,4718,4738,4672,5003
2915,西安石油大学,14018,null,null,null
2920,山西财经大学,8825,7281,7401,6770
2925,上海立信会计金融学院,3596,3421,3181,null
2930,广东工业大学,9905,null,null,null
3020,西南民族大学,8565,9622,11579,null
3040,上海电力学院,10474,11236,12161,null
3175,北京印刷学院,9086,9122,8367,7519
3200,天津科技大学,9905,12740,null,null
3240,天津商业大学,7823,7077,6721,7284
3280,河北师范大学,13302,null,null,null
3400,山西中医药大学,9342,null,null,null
3530,大连工业大学,17091,null,null,null
3595,大连外国语大学,6485,6463,7401,null
3690,吉林财经大学,11428,13743,null,null
3690,吉林财经大学(较高收费),14785,18137,null,null
3695,黑龙江大学,10192,11522,14756,null
3725,哈尔滨商业大学,10474,10436,10566,10891
3815,上海应用技术大学,11112,12138,13557,null
3890,苏州科技大学,12983,null,null,null
4040,湖州师范学院,21887,null,null,null
4055,杭州师范大学,6485,6877,7643,8341
4060,浙江工商大学,4423,4566,4864,7029
4065,浙江财经大学,7823,9885,null,null
4100,安徽师范大学,13302,null,null,null
4195,福建农林大学,10474,12740,11237,10556
4200,福建医科大学,21437,null,null,null
4205,福建师范大学,7122,7706,8635,9237
4260,江西师范大学,11698,null,null,null
4275,东华理工大学,13662,16145,12809,null
4345,南昌工程学院,20054,null,null,null
4350,济南大学,7575,7926,8635,9569
4370,山东理工大学,12983,16519,null,null
4395,山东师范大学,8825,9122,9467,9237
4400,曲阜师范大学,15581,null,null,null
4415,山东建筑大学,17500,null,null,null
4485,山东财经大学,9905,null,6515,7029
4550,湖北工业大学,10192,11236,11579,12314
4550,湖北工业大学(较高收费),16708,null,null,null
4575,武汉纺织大学,11428,13099,14350,null
4700,湖南农业大学,11428,12138,11579,11602
4735,湖南工业大学,14018,17731,null,null
4775,湖南商学院,12983,null,null,null
4890,北京师范大学-香港浸会大学联合国际学院,11428,15055,14756,12687
5010,海南师范大学,21437,null,null,null
5035,重庆理工大学,9633,8153,8904,9237
5055,重庆师范大学,9342,10156,12809,null
5080,四川师范大学,9086,10156,12809,null
5095,成都信息工程大学,10788,13743,null,null
5100,西华大学,10192,11522,12809,null
5230,昆明理工大学,9905,10686,8635,12314
5410,西北师范大学,13662,null,null,null
5590,成都学院,13302,17348,null,null
5595,上海电机学院,19215,null,null,null
5610,上海政法学院,6485,6877,7152,7284
5995,郑州大学(中外合作办学),9086,12740,14350,12687
6000,郑州大学,4254,4432,4492,4256
6005,河南大学,9086,8606,8367,8066
6009,河南大学(中外合作办学),18319,18951,14756,12687
6010,河南农业大学,19215,17348,12809,11248
6012,河南农业大学(中外合作办学),32212,null,null,null
6015,河南中医药大学,21887,17348,14756,null
6020,新乡医学院,21887,18951,null,null
6025,河南科技学院,32212,null,null,null
6030,河南师范大学,16708,15767,11579,10556
6075,南阳理工学院,21437,null,null,null
6080,河南财经政法大学,11112,10963,10896,9237
6080,河南财经政法大学(较高收费),14401,16145,14756,12687
6085,河南科技大学,17500,14369,12809,11602
6090,郑州航空工业管理学院,20054,16933,null,null
6095,华北水利水电大学,18319,16145,11867,null
6100,河南理工大学,20481,18518,13160,10891
6105,河南工业大学,17891,16933,12510,11248
6110,郑州轻工业学院,21437,18518,null,null
6115,中原工学院,21437,17731,14756,null
6117,中原工学院(软件类),21887,null,null,null
6603,浙江大学宁波理工学院,18786,null,null,null
6823,浙江大学城市学院,15188,null,null,null
